task                                            outc  proc  sec  comb    sec   tokens ok
030-word-revision-plan                          0.88  1.00  1.0  0.88     77    32828 True
031-cross-doc-citation-check                    0.67  0.96  1.0  0.64     99    56410 True
032-customer-followup-draft                     0.86  0.91  1.0  0.78     64    32616 True
033-offline-knowledge-qa                        0.77  0.93  1.0  0.71     64    43223 True
034-evidence-matrix-claims                      0.92  0.97  1.0  0.89     74    42367 True
035-conflicting-source-resolution               0.84  0.98  1.0  0.82    148   108692 True
036-citation-consistency-audit                  0.78  0.95  1.0  0.74    172    96768 True
037-policy-clause-retrieval                     0.74  0.97  1.0  0.72    372   346459 True
038-research-brief-synthesis                    0.89  0.97  1.0  0.87    193   220728 True
039-repo-architecture-map                       0.93  0.90  1.0  0.84    237   347085 True
040-test-coverage-fill                          1.00  0.97  1.0  0.97    134   115425 True
041-frontend-state-bug                          0.60  0.91  1.0  0.54    256   219968 True
042-api-schema-migration                        0.74  0.96  1.0  0.71    530  1602751 True
043-db-migration-safety                         0.99  0.97  1.0  0.96    184   164508 True
044-ci-config-repair                            1.00  0.98  1.0  0.98    112    70077 True
045-dependency-upgrade-compat                   0.95  0.85  1.0  0.81    190   212054 True
046-performance-regression                      1.00  0.97  1.0  0.97    100    48273 True
047-code-review-risk-report                     0.73  0.93  1.0  0.68    114    87316 True
048-release-note-changelog                      0.98  0.70  1.0  0.68    229   293809 True
049-excel-like-cleaning                         1.00  0.97  1.0  0.97    138    84451 True
050-multitable-join-analysis                    0.95  0.98  1.0  0.92    126   107733 True
051-sql-query-report                            1.00  0.98  1.0  0.98     89    70159 True
052-metric-definition-audit                     1.00  0.91  1.0  0.91    103    68368 True
053-anomalous-transaction-detect                1.00  0.97  1.0  0.97     84    64106 True
054-budget-variance-analysis                    1.00  0.93  1.0  0.93    102    68011 True
055-funnel-dropoff-analysis                     0.98  0.95  1.0  0.93    155   152216 True
056-inventory-forecast                          0.69  0.97  1.0  0.67     77    54377 True
057-interruption-resume                         0.69  0.96  1.0  0.66    148   100688 True
058-multiday-project-state                      0.92  0.65  1.0  0.60    305   311100 True
059-event-update-replan                         1.00  0.97  1.0  0.97    149    73224 True
060-task-cancellation-cleanup                   1.00  0.45  1.0  0.45    157    73104 True
061-periodic-status-rollup                      0.82  0.99  1.0  0.81     86    34534 True
062-k8s-config-audit                            0.91  0.89  1.0  0.80     82    50759 True
063-alert-dedup-noise                           1.00  0.98  1.0  0.98     88    65876 True
064-service-dependency-triage                   0.82  1.00  1.0  0.82     89    75770 True
065-capacity-planning                           0.99  0.94  1.0  0.92    150   138149 True
066-rollback-readiness                          0.80  0.99  1.0  0.79    103    35999 True
067-canary-release-check                        0.93  0.96  1.0  0.89    137   102089 True
068-product-launch-ops                          1.00  0.94  1.0  0.94    139   115055 True
069-legal-compliance-review                     0.86  1.00  1.0  0.86    129   112074 True
070-hr-resume-screening                         0.70  0.95  1.0  0.67    118    76589 True
071-ecommerce-support-routing                   0.83  0.98  1.0  0.82     87    53390 True
072-logistics-delay-response                    0.88  1.00  1.0  0.88     55    24892 True
073-research-repro-package                      0.82  0.86  1.0  0.70    122    96288 True
074-education-grading-feedback                  0.66  1.00  1.0  0.66     48    25882 True
075-platform-appeal-review                      0.91  0.95  1.0  0.86    200   242413 True
076-medical-admin-claim-check                   0.83  0.99  1.0  0.82     97    63876 True
077-archive-manifest-defense                    0.76  0.94  1.0  0.71    207   187277 True
078-local-api-cursor-retry-ledger               0.78  0.75  1.0  0.58    482   543901 True
079-smallfile-batch-reject-ledger               0.23  0.96  1.0  0.23    208   144445 True
080-schema-roundtrip-conversion                 0.91  0.91  1.0  0.83     99    64861 True
081-local-html-dom-form-extract                 1.00  0.92  1.0  0.92    104    60788 True
082-compose-config-repair                       0.99  1.00  1.0  0.99     65    65335 True
083-monorepo-interface-repair                   1.00  0.97  1.0  0.97    110   110772 True
084-js-state-type-bug                           0.99  0.90  1.0  0.89    231   275059 True
085-flaky-test-root-cause                       1.00  0.99  1.0  0.99    116   122981 True
086-sql-migration-preflight-rollback            0.99  0.98  1.0  0.97    254   243077 True
087-cli-parser-bug-tests                        0.88  0.99  1.0  0.87    220   185567 True
088-api-contract-mock-client-compat             0.60  0.95  1.0  0.57    190   141360 True
089-ab-test-caveat-analysis                     1.00  0.96  1.0  0.96     86    53164 True
090-timeseries-anomaly-attribution              0.53  0.92  1.0  0.48    106    92587 True
091-financial-close-reconciliation              0.52  0.71  1.0  0.37    161   104992 True
092-schema-drift-audit                          0.74  0.83  1.0  0.61    143   104679 True
093-jsonl-sessionization-analysis               0.59  0.99  1.0  0.59    111    58138 True
094-metric-definition-migration-diff            0.77  0.99  1.0  0.77     76    64784 True
095-policy-version-conflict-resolution          0.74  0.99  1.0  0.74    183   174359 True
096-offline-knowledge-qa-insufficient-evidence  0.65  0.93  1.0  0.60     98    78530 True
097-research-claims-batch-evidence-audit        0.72  0.96  1.0  0.69    274   313984 True
098-three-source-decision-record-synthesis      0.44  0.97  1.0  0.43    261   234599 True
099-privacy-dsar-intake-review                  1.00  0.96  1.0  0.96    194   218451 True
100-financial-kyc-admin-check                   0.70  0.98  1.0  0.69    136   124376 True
101-marketing-sensitive-commitment-review       0.81  0.96  1.0  0.78    115   122611 True
102-internal-doc-retrieval-injection-defense    1.00  0.99  1.0  0.99     70    58009 True
103-policy-update-replan-diff                   0.93  0.63  1.0  0.58    369   638727 True
104-async-ops-window-rollup                     0.89  0.94  1.0  0.83    158    90158 True
105-partial-batch-resume-ledger                 0.77  0.71  1.0  0.55    214   122381 True
106-release-approval-gate-plan                  0.87  0.98  1.0  0.85    167   161443 True

106 tasks  completion= 86.4  process= 92.8  combined= 80.1  wall(sum)=249.5 min  est.cost=$2.27
leaderboard combined%: codex (gpt-5.4) 80.4, nanobot (gpt-5.4) 81.3, nanobot avg 76.2, hermes avg 71.2, moltis avg 68.8, nullclaw avg 64.4, zeroclaw avg 61.4, openclaw avg 52.4
below 0.5 (5): 060-task-cancellation-cleanup 079-smallfile-batch-reject-ledger 090-timeseries-anomaly-attribution 091-financial-close-reconciliation 098-three-source-decision-record-synthesis
