task                                            outc  proc  sec  comb    sec   tokens ok
034-evidence-matrix-claims                      0.92  0.99  1.0  0.91     50    31570 True
035-conflicting-source-resolution               0.84  0.98  1.0  0.82    105   134498 True
036-citation-consistency-audit                  0.78  0.97  1.0  0.75    134   114738 True
037-policy-clause-retrieval                     0.74  1.00  1.0  0.74    130   186637 True
038-research-brief-synthesis                    0.85  0.97  1.0  0.83    171   237624 True
039-repo-architecture-map                       0.92  0.98  1.0  0.90    177   202113 True
040-test-coverage-fill                          1.00  1.00  1.0  1.00    185   251920 True
041-frontend-state-bug                          0.60  0.93  1.0  0.55    248   435331 True
042-api-schema-migration                        0.74  0.94  1.0  0.69    396   550804 True
043-db-migration-safety                         0.99  1.00  1.0  0.99    193   321400 True
044-ci-config-repair                            1.00  0.97  1.0  0.97     92    75420 True
045-dependency-upgrade-compat                   0.95  0.97  1.0  0.92    152   211909 True
046-performance-regression                      1.00  0.94  1.0  0.94    121    92724 True
047-code-review-risk-report                     0.72  1.00  1.0  0.72     86   112754 True
048-release-note-changelog                      0.97  1.00  1.0  0.97    194   276652 True
049-excel-like-cleaning                         1.00  1.00  1.0  1.00     58    91708 True
050-multitable-join-analysis                    1.00  0.97  1.0  0.97     77   125109 True
051-sql-query-report                            1.00  0.98  1.0  0.98     54    75882 True
052-metric-definition-audit                     1.00  0.99  1.0  0.99     61    91776 True
053-anomalous-transaction-detect                0.98  0.95  1.0  0.93     56    83070 True
054-budget-variance-analysis                    1.00  0.98  1.0  0.98     51    75482 True
055-funnel-dropoff-analysis                     0.98  1.00  1.0  0.98    197   292488 True
056-inventory-forecast                          0.69  0.93  1.0  0.64     55   100035 True
057-interruption-resume                         0.69  0.98  1.0  0.68    108   173853 True
058-multiday-project-state                      0.92  1.00  1.0  0.92    377   551137 True
059-event-update-replan                         1.00  0.97  1.0  0.97     88   134918 True
060-task-cancellation-cleanup                   1.00  1.00  1.0  1.00     80    93243 True
061-periodic-status-rollup                      1.00  1.00  1.0  1.00     97    32272 True
062-k8s-config-audit                            0.91  1.00  1.0  0.91     43    35728 True
063-alert-dedup-noise                           1.00  1.00  1.0  1.00     74    80948 True
064-service-dependency-triage                   0.82  1.00  1.0  0.82     89    72391 True
065-capacity-planning                           0.99  1.00  1.0  0.99    106    83328 True
066-rollback-readiness                          0.80  1.00  1.0  0.80     87    95372 True
067-canary-release-check                        1.00  0.94  1.0  0.94     95    90819 True
068-product-launch-ops                          1.00  1.00  1.0  1.00     70    94560 True
069-legal-compliance-review                     0.81  1.00  1.0  0.81     73   120683 True
070-hr-resume-screening                         0.70  0.99  1.0  0.70     55    70696 True
071-ecommerce-support-routing                   0.83  1.00  1.0  0.83     68   101576 True
072-logistics-delay-response                    0.88  0.99  1.0  0.87     61    71966 True
073-research-repro-package                      1.00  0.89  1.0  0.89     87   142724 True
074-education-grading-feedback                  0.52  0.98  1.0  0.51     37    40761 True
075-platform-appeal-review                      1.00  0.97  1.0  0.97     82   153742 True
076-medical-admin-claim-check                   0.83  1.00  1.0  0.83     46    55475 True
077-archive-manifest-defense                    0.83  1.00  1.0  0.83    184   223801 True
078-local-api-cursor-retry-ledger               1.00  1.00  1.0  1.00    124   111671 True
079-smallfile-batch-reject-ledger               0.51  1.00  1.0  0.51    132   130872 True
080-schema-roundtrip-conversion                 0.91  0.97  1.0  0.89     84   100289 True
081-local-html-dom-form-extract                 0.55  0.75  1.0  0.41     68    45284 True
082-compose-config-repair                       0.99  0.94  1.0  0.93     66   143956 True
083-monorepo-interface-repair                   1.00  0.95  1.0  0.95     92   154625 True
084-js-state-type-bug                           0.99  0.94  1.0  0.93    149   160898 True
085-flaky-test-root-cause                       1.00  1.00  1.0  1.00     67    91479 True
086-sql-migration-preflight-rollback            1.00  0.92  1.0  0.92    413   969898 True
087-cli-parser-bug-tests                        0.90  0.96  1.0  0.86    176   284786 True
088-api-contract-mock-client-compat             0.50  1.00  1.0  0.50    248   337529 True
089-ab-test-caveat-analysis                     0.95  0.98  1.0  0.93     69    75275 True
090-timeseries-anomaly-attribution              0.37  0.98  1.0  0.37     69   108563 True
091-financial-close-reconciliation              0.52  1.00  1.0  0.52    112   133753 True
092-schema-drift-audit                          0.38  1.00  1.0  0.38     95   144358 True
093-jsonl-sessionization-analysis               0.59  0.97  1.0  0.58     88   151181 True
094-metric-definition-migration-diff            0.78  0.98  1.0  0.76     56    66784 True
095-policy-version-conflict-resolution          0.69  1.00  1.0  0.69    151   229902 True
096-offline-knowledge-qa-insufficient-evidence  0.65  0.99  1.0  0.65     62    70476 True
097-research-claims-batch-evidence-audit        0.74  0.98  1.0  0.73    259   260504 True
098-three-source-decision-record-synthesis      0.50  0.99  1.0  0.50     77    77095 True
099-privacy-dsar-intake-review                  0.70  0.90  1.0  0.63     97   249562 True
100-financial-kyc-admin-check                   0.70  0.98  1.0  0.69     64   125748 True
101-marketing-sensitive-commitment-review       0.90  1.00  1.0  0.90     60    59647 True
102-internal-doc-retrieval-injection-defense    1.00  0.97  1.0  0.97     44    72097 True
103-policy-update-replan-diff                   1.00  0.64  1.0  0.64    207   449815 True
104-async-ops-window-rollup                     0.89  0.98  1.0  0.87    145   111644 True
105-partial-batch-resume-ledger                 0.60  1.00  1.0  0.60    233   330676 True
106-release-approval-gate-plan                  0.81  0.95  1.0  0.77    131   195706 True

106 tasks  completion= 85.5  process= 97.4  combined= 83.3  wall(sum)=190.0 min  est.cost=$2.41
leaderboard combined%: codex (gpt-5.4) 80.4, nanobot (gpt-5.4) 81.3, nanobot avg 76.2, hermes avg 71.2, moltis avg 68.8, nullclaw avg 64.4, zeroclaw avg 61.4, openclaw avg 52.4
below 0.5 (5): 031-cross-doc-citation-check 081-local-html-dom-form-extract 090-timeseries-anomaly-attribution 092-schema-drift-audit 098-three-source-decision-record-synthesis
